Test Label,Remote Endpoint,Tests Started (local time),Time Elapsed,ICMP Trials Attempted,ICMP Trials Successful,Latency (ms),Min RTT (ms),Max RTT (ms),Packet Loss Ratio (%),Advertised Data Rate (Mb/s),Uplink Trials Attempted,Uplink Trials Successful,Mean Time per successful uplink trial (ms),Min successful uplink trial time (ms),Max successful uplink trial time (ms),Uplink Throughput (%),Uplink Unsuccessful file access ratio (%),Downlink Trials Attempted,Downlink Trials Successful,Mean Time per successful downlink trial (ms),Min successful downlink trial time (ms),Max successful downlink trial time (ms),Downlink Throughput (%),Downlink Unsuccessful file access ratio (%)
12312341,http://localhost:1414,"15/02/2023, 23:05:32",3 seconds,100,100,11,8,28,0,1,50,50,22,12,66,100,0,50,50,32,16,74,100,undefined
12312341,http://localhost:1414,"15/02/2023, 23:05:32",3 seconds,100,100,11,8,28,0,1,50,50,22,12,66,100,0,50,50,32,16,74,100,0
